"fecha","emisiones_anuales_co2_toneladas"
"1862","354488900.0"
"1863","378180160.0"
"1864","407725980.0"
"1865","432859140.0"
"1866","446553600.0"
"1867","478160740.0"
"1868","491551940.0"
"1869","521954200.0"
"1870","533338270.0"
"1871","566891300.0"
"1872","627301250.0"
"1873","666481200.0"
"1874","624232500.0"
"1875","677113860.0"
"1876","686780200.0"
"1877","700404400.0"
"1878","705973570.0"
"1879","755990460.0"
"1880","853916350.0"
"1881","883544060.0"
"1882","933360100.0"
"1883","992753600.0"
"1884","1004134100.0"
"1885","1011637100.0"
"1886","1027417500.0"
"1887","1078746900.0"
"1888","1194352600.0"
"1889","1194624000.0"
"1890","1300362400.0"
"1891","1361750100.0"
"1892","1372396500.0"
"1893","1355477200.0"
"1894","1403019100.0"
"1895","1487432300.0"
"1896","1536365600.0"
"1897","1609231600.0"
"1898","1697166300.0"
"1899","1853709200.0"
"1900","1952209500.0"
"1901","2016744400.0"
"1902","2067683800.0"
"1903","2254100200.0"
"1904","2279747300.0"
"1905","2427318300.0"
"1906","2534733000.0"
"1907","2888318000.0"
"1908","2776440800.0"
"1909","2890495000.0"
"1910","3034089700.0"
"1911","3079502000.0"
"1912","3235963600.0"
"1913","3506275800.0"
"1914","3180355600.0"
"1915","3134854000.0"
"1916","3385858300.0"
"1917","3540426800.0"
"1918","3493264100.0"
"1919","3029006600.0"
"1920","3521427500.0"
"1921","3090096600.0"
"1922","3240313900.0"
"1923","3676233200.0"
"1924","3687220200.0"
"1925","3727033600.0"
"1926","3661030400.0"
"1927","3996128800.0"
"1928","3978763300.0"
"1929","4270907600.0"
"1930","3938598400.0"
"1931","3519903200.0"
"1932","3173476400.0"
"1933","3341518300.0"
"1934","3634241800.0"
"1935","3814798300.0"
"1936","4185513700.0"
"1937","4474233000.0"
"1938","4206901000.0"
"1939","4451247000.0"
"1940","4861346000.0"
"1941","4970814500.0"
"1942","4959586000.0"
"1943","5041694000.0"
"1944","5117908500.0"
"1945","4257136000.0"
"1946","4646123500.0"
"1947","5145782000.0"
"1948","5424953000.0"
"1949","5181006000.0"
"1950","5929342000.0"
"1951","6381405700.0"
"1952","6467437000.0"
"1953","6650861600.0"
"1954","6789497300.0"
"1955","7443861000.0"
"1956","7925980700.0"
"1957","8185614000.0"
"1958","8417160000.0"
"1959","8854662000.0"
"1960","9386421000.0"
"1961","9414383000.0"
"1962","9746556000.0"
"1963","10266046000.0"
"1964","10823619000.0"
"1965","11309690000.0"
"1966","11861708000.0"
"1967","12236328000.0"
"1968","12904336000.0"
"1969","13760840000.0"
"1970","14898157000.0"
"1971","15502787000.0"
"1972","16223440000.0"
"1973","17083500000.0"
"1974","17009382000.0"
"1975","17049979000.0"
"1976","17985243000.0"
"1977","18494652000.0"
"1978","19063955000.0"
"1979","19603001000.0"
"1980","19482442000.0"
"1981","19016950000.0"
"1982","18865373000.0"
"1983","18985900000.0"
"1984","19641730000.0"
"1985","20305132000.0"
"1986","20607515000.0"
"1987","21245784000.0"
"1988","22077385000.0"
"1989","22378970000.0"
"1990","22752700000.0"
"1991","23229475000.0"
"1992","22567199000.0"
"1993","22798350000.0"
"1994","23034776000.0"
"1995","23524491000.0"
"1996","24250161000.0"
"1997","24395952000.0"
"1998","24330945000.0"
"1999","24833495000.0"
"2000","25501286000.0"
"2001","25674930000.0"
"2002","26248288000.0"
"2003","27648650000.0"
"2004","28620194000.0"
"2005","29592103000.0"
"2006","30605767000.0"
"2007","31499735000.0"
"2008","32041902000.0"
"2009","31493265000.0"
"2010","33306330000.0"
"2011","34436470000.0"
"2012","34935450000.0"
"2013","35232470000.0"
"2014","35466195000.0"
"2015","35463213000.0"
"2016","35460026000.0"
"2017","36025455000.0"
"2018","36766945000.0"
"2019","37040103000.0"
"2020","35007738000.0"
"2021","36816544000.0"
"2022","37149786000.0"
